date,sector,MtCO2 per day
19/08/2023,Power,4.47
20/08/2023,Power,4.48
21/08/2023,Power,4.6
22/08/2023,Power,4.62
23/08/2023,Power,4.37
24/08/2023,Power,4.33
25/08/2023,Power,4.44
26/08/2023,Power,4.52
27/08/2023,Power,4.49
28/08/2023,Power,4.52
29/08/2023,Power,4.75
30/08/2023,Power,4.83
31/08/2023,Power,4.92
01/09/2023,Power,5.05
02/09/2023,Power,5.02
03/09/2023,Power,4.8
04/09/2023,Power,4.71
05/09/2023,Power,4.81
06/09/2023,Power,4.71
07/09/2023,Power,4.43
08/09/2023,Power,4.31
09/09/2023,Power,4.2
10/09/2023,Power,3.98
11/09/2023,Power,4.29
12/09/2023,Power,4.48
13/09/2023,Power,4.65
14/09/2023,Power,4.79
15/09/2023,Power,4.64
16/09/2023,Power,4.34
17/09/2023,Power,3.95
18/09/2023,Power,4.06
19/09/2023,Power,4.19
20/09/2023,Power,4.4
21/09/2023,Power,4.51
22/09/2023,Power,4.44
23/09/2023,Power,4.2
24/09/2023,Power,3.92
25/09/2023,Power,4.15
26/09/2023,Power,4.41
27/09/2023,Power,4.5
28/09/2023,Power,4.49
29/09/2023,Power,4.53
30/09/2023,Power,4.43
01/10/2023,Power,4.12
02/10/2023,Power,4.04
03/10/2023,Power,4.34
04/10/2023,Power,4.46
05/10/2023,Power,4.51
06/10/2023,Power,4.61
07/10/2023,Power,4.65
08/10/2023,Power,4.67
09/10/2023,Power,4.77
10/10/2023,Power,4.81
11/10/2023,Power,4.89
12/10/2023,Power,4.88
13/10/2023,Power,4.91
14/10/2023,Power,4.8
15/10/2023,Power,4.66
16/10/2023,Power,4.62
17/10/2023,Power,4.57
18/10/2023,Power,4.7
19/10/2023,Power,4.79
20/10/2023,Power,4.78
21/10/2023,Power,4.73
22/10/2023,Power,4.57
23/10/2023,Power,4.52
24/10/2023,Power,4.38
25/10/2023,Power,4.61
26/10/2023,Power,4.76
27/10/2023,Power,4.75
28/10/2023,Power,4.75
29/10/2023,Power,4.57
30/10/2023,Power,4.67
31/10/2023,Power,4.73
01/11/2023,Power,4.77
02/11/2023,Power,4.78
03/11/2023,Power,4.79
04/11/2023,Power,4.74
05/11/2023,Power,4.51
06/11/2023,Power,4.6
07/11/2023,Power,4.63
08/11/2023,Power,4.64
09/11/2023,Power,4.62
10/11/2023,Power,4.44
11/11/2023,Power,4.1
12/11/2023,Power,3.68
13/11/2023,Power,3.59
14/11/2023,Power,3.85
15/11/2023,Power,3.97
16/11/2023,Power,4.11
17/11/2023,Power,4.23
18/11/2023,Power,4.36
19/11/2023,Power,4.21
20/11/2023,Power,4.32
21/11/2023,Power,4.44
22/11/2023,Power,4.5
23/11/2023,Power,4.5
24/11/2023,Power,4.4
25/11/2023,Power,4.3
26/11/2023,Power,4.03
27/11/2023,Power,3.98
28/11/2023,Power,4.04
29/11/2023,Power,4.09
30/11/2023,Power,3.97
01/12/2023,Power,3.98
02/12/2023,Power,3.9
03/12/2023,Power,3.74
04/12/2023,Power,3.82
05/12/2023,Power,3.84
06/12/2023,Power,3.96
07/12/2023,Power,4.1
08/12/2023,Power,4.19
09/12/2023,Power,4.16
10/12/2023,Power,3.99
11/12/2023,Power,4.19
12/12/2023,Power,4.31
13/12/2023,Power,4.32
14/12/2023,Power,4.34
15/12/2023,Power,4.48
16/12/2023,Power,4.45
17/12/2023,Power,4.18
18/12/2023,Power,4.18
19/12/2023,Power,4.31
20/12/2023,Power,4.41
21/12/2023,Power,4.46
22/12/2023,Power,4.57
23/12/2023,Power,4.46
24/12/2023,Power,4.27
25/12/2023,Power,4.36
26/12/2023,Power,4.53
27/12/2023,Power,4.5
28/12/2023,Power,4.52
29/12/2023,Power,4.59
30/12/2023,Power,4.61
31/12/2023,Power,4.4
01/01/2024,Power,4.45
02/01/2024,Power,4.59
03/01/2024,Power,4.67
